Function,Statistic,p-value,Buffer Size,Comparison,Config
F1,0.0,,Unlimited,LCG vs MT,Unlimited
F2,0.0,,Unlimited,LCG vs MT,Unlimited
F3,25.0,0.4645101269441202,Unlimited,LCG vs MT,Unlimited
F4,0.0,,Unlimited,LCG vs MT,Unlimited
F5,0.0,,Unlimited,LCG vs MT,Unlimited
F6,140.0,0.17793172526825463,Unlimited,LCG vs MT,Unlimited
F7,593.0,0.6675078082538215,Unlimited,LCG vs MT,Unlimited
F8,553.0,0.30250267023967414,Unlimited,LCG vs MT,Unlimited
F9,595.0,0.5238670979512359,Unlimited,LCG vs MT,Unlimited
F10,181.5,0.8563632087180175,Unlimited,LCG vs MT,Unlimited
F11,0.0,,Unlimited,LCG vs MT,Unlimited
F12,445.0,0.04101129696419458,Unlimited,LCG vs MT,Unlimited
F13,446.0,0.041947329699110254,Unlimited,LCG vs MT,Unlimited
F14,207.0,0.1551324738689602,Unlimited,LCG vs MT,Unlimited
F15,569.0,0.37826051197098143,Unlimited,LCG vs MT,Unlimited
F16,542.0,0.2567150712366082,Unlimited,LCG vs MT,Unlimited
F17,0.0,,Unlimited,LCG vs MT,Unlimited
F18,569.0,0.37826051197098143,Unlimited,LCG vs MT,Unlimited
F19,457.0,0.053491193268102324,Unlimited,LCG vs MT,Unlimited
F20,592.0,0.5057204189354021,Unlimited,LCG vs MT,Unlimited
F21,0.0,0.31731050786291415,Unlimited,LCG vs MT,Unlimited
F22,305.0,0.6593913621513313,Unlimited,LCG vs MT,Unlimited
F23,574.0,0.404146571096748,Unlimited,LCG vs MT,Unlimited
F24,264.5,0.40802024304728846,Unlimited,LCG vs MT,Unlimited
F25,65.5,0.89420053545643,Unlimited,LCG vs MT,Unlimited
F26,527.0,0.3950506668292877,Unlimited,LCG vs MT,Unlimited
F27,1.0,0.6547208460185769,Unlimited,LCG vs MT,Unlimited
F28,0.0,0.0832645166635504,Unlimited,LCG vs MT,Unlimited
F1,0.0,,2500000.0,True vs LCG,Shuffle
F2,0.0,,2500000.0,True vs LCG,Shuffle
F3,31.5,0.5367058232556736,2500000.0,True vs LCG,Shuffle
F4,0.0,,2500000.0,True vs LCG,Shuffle
F5,0.0,,2500000.0,True vs LCG,Shuffle
F6,140.0,0.17793172526825463,2500000.0,True vs LCG,Shuffle
F7,525.0,0.6798233549833511,2500000.0,True vs LCG,Shuffle
F8,576.0,0.4147909608377254,2500000.0,True vs LCG,Shuffle
F9,507.0,0.20775852744976409,2500000.0,True vs LCG,Shuffle
F10,82.5,0.15255538462953583,2500000.0,True vs LCG,Shuffle
F11,0.0,,2500000.0,True vs LCG,Shuffle
F12,645.0,0.8660149958741169,2500000.0,True vs LCG,Shuffle
F13,555.0,0.3113781819395105,2500000.0,True vs LCG,Shuffle
F14,162.0,0.4652088184521418,2500000.0,True vs LCG,Shuffle
F15,544.0,0.2646608212139634,2500000.0,True vs LCG,Shuffle
F16,479.0,0.08457832291661053,2500000.0,True vs LCG,Shuffle
F17,0.0,,2500000.0,True vs LCG,Shuffle
F18,624.0,0.7146895407730142,2500000.0,True vs LCG,Shuffle
F19,526.0,0.1990842423774256,2500000.0,True vs LCG,Shuffle
F20,627.0,0.7357816119931864,2500000.0,True vs LCG,Shuffle
F21,0.0,,2500000.0,True vs LCG,Shuffle
F22,310.5,0.3817995392843053,2500000.0,True vs LCG,Shuffle
F23,626.0,0.7287278475083228,2500000.0,True vs LCG,Shuffle
