Function,Statistic,p-value,Buffer Size,Comparison,Config
F1,0.0,,Unlimited,LCG vs MT,Unlimited
F2,0.0,0.31731050786291415,Unlimited,LCG vs MT,Unlimited
F3,604.0,0.9326175573611005,Unlimited,LCG vs MT,Unlimited
F4,0.0,,Unlimited,LCG vs MT,Unlimited
F5,0.0,,Unlimited,LCG vs MT,Unlimited
F6,158.0,0.9036267967285596,Unlimited,LCG vs MT,Unlimited
F7,606.0,0.5931425620228769,Unlimited,LCG vs MT,Unlimited
F8,479.0,0.08457832291661053,Unlimited,LCG vs MT,Unlimited
F9,605.0,0.5866747207433314,Unlimited,LCG vs MT,Unlimited
F10,4.0,0.16820413904818,Unlimited,LCG vs MT,Unlimited
F11,0.0,,Unlimited,LCG vs MT,Unlimited
F12,543.0,0.26066700271644416,Unlimited,LCG vs MT,Unlimited
F13,657.0,0.9551499779188657,Unlimited,LCG vs MT,Unlimited
F14,548.0,0.5211326060604102,Unlimited,LCG vs MT,Unlimited
F15,629.0,0.7499556273330805,Unlimited,LCG vs MT,Unlimited
F16,615.0,0.6527635040598475,Unlimited,LCG vs MT,Unlimited
F17,224.0,0.3124198910793814,Unlimited,LCG vs MT,Unlimited
F18,534.0,0.22659476517213117,Unlimited,LCG vs MT,Unlimited
F19,485.0,0.09522105366995921,Unlimited,LCG vs MT,Unlimited
F20,551.0,0.2937970663611158,Unlimited,LCG vs MT,Unlimited
F21,10.0,0.24821307898992362,Unlimited,LCG vs MT,Unlimited
F22,530.5,0.30164750033598375,Unlimited,LCG vs MT,Unlimited
F23,576.0,0.4147909608377254,Unlimited,LCG vs MT,Unlimited
F24,507.0,0.1436697475648359,Unlimited,LCG vs MT,Unlimited
F25,575.0,0.40944819102604935,Unlimited,LCG vs MT,Unlimited
F26,0.0,,Unlimited,LCG vs MT,Unlimited
F27,469.0,0.06899498935726181,Unlimited,LCG vs MT,Unlimited
F28,0.0,,Unlimited,LCG vs MT,Unlimited
F1,0.0,,2500000.0,True vs LCG,Shuffle
F2,0.0,,2500000.0,True vs LCG,Shuffle
F3,428.0,0.21903261174313937,2500000.0,True vs LCG,Shuffle
F4,0.0,,2500000.0,True vs LCG,Shuffle
F5,0.0,,2500000.0,True vs LCG,Shuffle
F6,74.0,0.14914688264425705,2500000.0,True vs LCG,Shuffle
F7,638.0,0.8147236184718414,2500000.0,True vs LCG,Shuffle
F8,639.0,0.8220078988746186,2500000.0,True vs LCG,Shuffle
F9,562.0,0.34378139801909813,2500000.0,True vs LCG,Shuffle
F10,7.5,0.04004271457036229,2500000.0,True vs LCG,Shuffle
F11,0.0,,2500000.0,True vs LCG,Shuffle
F12,647.0,0.8807839685412195,2500000.0,True vs LCG,Shuffle
F13,460.0,0.05706484924371916,2500000.0,True vs LCG,Shuffle
F14,437.0,0.03413992433992121,2500000.0,True vs LCG,Shuffle
F15,384.0,0.00891759377370087,2500000.0,True vs LCG,Shuffle
F16,479.0,0.08457832291661053,2500000.0,True vs LCG,Shuffle
F17,328.0,0.3853691467381455,2500000.0,True vs LCG,Shuffle
F18,558.0,0.32501029325165953,2500000.0,True vs LCG,Shuffle
F19,363.0,0.004922837173985914,2500000.0,True vs LCG,Shuffle
F20,655.0,0.9402244705136732,2500000.0,True vs LCG,Shuffle
F21,1.5,0.19364643126922065,2500000.0,True vs LCG,Shuffle
F22,544.0,0.2646581976439679,2500000.0,True vs LCG,Shuffle
F23,573.0,0.3988862463133853,2500000.0,True vs LCG,Shuffle
F24,631.0,0.764214577844195,2500000.0,True vs LCG,Shuffle
F25,525.0,0.19582490229199767,2500000.0,True vs LCG,Shuffle
F26,0.0,,2500000.0,True vs LCG,Shuffle
F27,614.0,0.646018836426024,2500000.0,True vs LCG,Shuffle
F28,0.0,,2500000.0,True vs LCG,Shuffle
F1,0.0,,2500000.0,True vs MT,Shuffle
F2,0.0,,2500000.0,True vs MT,Shuffle
F3,324.0,0.11088741236126622,2500000.0,True vs MT,Shuffle
F4,0.0,,2500000.0,True vs MT,Shuffle
F5,0.0,,2500000.0,True vs MT,Shuffle
F6,88.0,0.07648946089689826,2500000.0,True vs MT,Shuffle
F7,624.0,0.7146895407730142,2500000.0,True vs MT,Shuffle
F8,557.0,0.32042373805844704,2500000.0,True vs MT,Shuffle
F9,648.0,0.8881843657796973,2500000.0,True vs MT,Shuffle
F10,15.0,0.19908466865428376,2500000.0,True vs MT,Shuffle
F11,0.0,,2500000.0,True vs MT,Shuffle
F12,615.0,0.6527635040598475,2500000.0,True vs MT,Shuffle
F13,467.0,0.06618044857321982,2500000.0,True vs MT,Shuffle
F14,661.0,0.9850428228634905,2500000.0,True vs MT,Shuffle
F15,495.0,0.11531590882949797,2500000.0,True vs MT,Shuffle
F16,583.0,0.45332857750731237,2500000.0,True vs MT,Shuffle
F17,243.5,0.5071829439696883,2500000.0,True vs MT,Shuffle
F18,661.0,0.985042987115864,2500000.0,True vs MT,Shuffle
F19,445.0,0.04101129696419458,2500000.0,True vs MT,Shuffle
F20,568.0,0.37320855038196865,2500000.0,True vs MT,Shuffle
F21,2.5,0.31731050786291415,2500000.0,True vs MT,Shuffle
F22,590.0,0.4938043104805149,2500000.0,True vs MT,Shuffle
F23,650.0,0.9030137998838772,2500000.0,True vs MT,Shuffle
F24,593.0,0.5117323250306174,2500000.0,True vs MT,Shuffle
F25,579.0,0.4310645909967046,2500000.0,True vs MT,Shuffle
F26,0.0,,2500000.0,True vs MT,Shuffle
F27,510.0,0.15153219217906758,2500000.0,True vs MT,Shuffle
F28,0.0,,2500000.0,True vs MT,Shuffle
F1,0.0,,2500000.0,True vs LCG,Offset
F2,0.0,,2500000.0,True vs LCG,Offset
F3,511.0,0.7472265505726103,2500000.0,True vs LCG,Offset
F4,0.0,,2500000.0,True vs LCG,Offset
F5,0.0,,2500000.0,True vs LCG,Offset
F6,92.0,0.2626860925759784,2500000.0,True vs LCG,Offset
F7,522.0,0.18628178435568965,2500000.0,True vs LCG,Offset
F8,629.0,0.7499556273330805,2500000.0,True vs LCG,Offset
F9,621.0,0.6938131678863435,2500000.0,True vs LCG,Offset
F10,14.0,0.15872031448616575,2500000.0,True vs LCG,Offset
F11,0.0,,2500000.0,True vs LCG,Offset
F12,624.0,0.7146895407730142,2500000.0,True vs LCG,Offset
F13,563.0,0.34858025507982393,2500000.0,True vs LCG,Offset
F14,616.0,0.6595366763108996,2500000.0,True vs LCG,Offset
F15,599.0,0.5485716297255758,2500000.0,True vs LCG,Offset
F16,493.0,0.11105045167875917,2500000.0,True vs LCG,Offset
F17,222.0,0.1959013021595276,2500000.0,True vs LCG,Offset
F18,640.0,0.8293075556249441,2500000.0,True vs LCG,Offset
