Function,Statistic,p-value,Buffer Size,Comparison,Config
F1,630.0,0.7570747669212832,Unlimited,LCG vs MT,Unlimited
F2,582.0,0.44770253301902596,Unlimited,LCG vs MT,Unlimited
F3,583.5,0.4561540214917781,Unlimited,LCG vs MT,Unlimited
F4,504.0,0.13612402445819016,Unlimited,LCG vs MT,Unlimited
F5,526.0,0.1990842423774256,Unlimited,LCG vs MT,Unlimited
F6,236.5,0.8204145963313911,Unlimited,LCG vs MT,Unlimited
F7,590.0,0.49380905517129214,Unlimited,LCG vs MT,Unlimited
F8,607.5,0.6029030913908415,Unlimited,LCG vs MT,Unlimited
F9,577.0,0.4201747268820091,Unlimited,LCG vs MT,Unlimited
F10,531.5,0.3061880037719803,Unlimited,LCG vs MT,Unlimited
F11,607.5,0.7721028709831634,Unlimited,LCG vs MT,Unlimited
F12,569.5,0.6688084325669595,Unlimited,LCG vs MT,Unlimited
F13,591.0,0.4997458992672096,Unlimited,LCG vs MT,Unlimited
F14,503.0,0.13367795585698114,Unlimited,LCG vs MT,Unlimited
F15,619.0,0.6800224151142729,Unlimited,LCG vs MT,Unlimited
F16,558.0,0.32501029325165953,Unlimited,LCG vs MT,Unlimited
F17,628.0,0.7428577228895605,Unlimited,LCG vs MT,Unlimited
F18,643.0,0.8512926627110882,Unlimited,LCG vs MT,Unlimited
F19,625.0,0.7216969766329905,Unlimited,LCG vs MT,Unlimited
F20,406.0,0.025434816214666804,Unlimited,LCG vs MT,Unlimited
F21,0.0,,Unlimited,LCG vs MT,Unlimited
F22,582.0,0.44770253301902596,Unlimited,LCG vs MT,Unlimited
F23,545.0,0.26869661608941153,Unlimited,LCG vs MT,Unlimited
F24,607.0,0.5996428760826902,Unlimited,LCG vs MT,Unlimited
F25,661.0,0.985042987115864,Unlimited,LCG vs MT,Unlimited
F26,508.5,0.7265751036129533,Unlimited,LCG vs MT,Unlimited
F27,0.0,,Unlimited,LCG vs MT,Unlimited
F28,409.0,0.22068851615288598,Unlimited,LCG vs MT,Unlimited
F1,626.0,0.7287278475083228,2500000.0,True vs LCG,Shuffle
F2,636.0,0.8002036075343562,2500000.0,True vs LCG,Shuffle
F3,506.5,0.14238812839900514,2500000.0,True vs LCG,Shuffle
F4,660.0,0.9775661231776971,2500000.0,True vs LCG,Shuffle
F5,549.0,0.285261118060972,2500000.0,True vs LCG,Shuffle
F6,104.0,0.03949608801293712,2500000.0,True vs LCG,Shuffle
F7,645.0,0.8660149958741169,2500000.0,True vs LCG,Shuffle
F8,528.5,0.20740317999083224,2500000.0,True vs LCG,Shuffle
F9,534.0,0.22659476517213117,2500000.0,True vs LCG,Shuffle
F10,579.0,0.5722641662735417,2500000.0,True vs LCG,Shuffle
F11,562.0,0.46609983429410207,2500000.0,True vs LCG,Shuffle
F12,523.0,0.2690015551038776,2500000.0,True vs LCG,Shuffle
F13,511.0,0.154224574855407,2500000.0,True vs LCG,Shuffle
F14,425.0,0.02568873999366418,2500000.0,True vs LCG,Shuffle
F15,529.0,0.20909981466131067,2500000.0,True vs LCG,Shuffle
F16,655.0,0.9402244705136732,2500000.0,True vs LCG,Shuffle
F17,616.0,0.6595366763108996,2500000.0,True vs LCG,Shuffle
F18,588.0,0.4820495081438054,2500000.0,True vs LCG,Shuffle
F19,451.0,0.0469030099173163,2500000.0,True vs LCG,Shuffle
F20,571.0,0.5209101726157914,2500000.0,True vs LCG,Shuffle
F21,0.0,,2500000.0,True vs LCG,Shuffle
F22,506.0,0.1411196584389672,2500000.0,True vs LCG,Shuffle
F23,629.0,0.7499556273330805,2500000.0,True vs LCG,Shuffle
F24,653.0,0.9253199298840316,2500000.0,True vs LCG,Shuffle
F25,625.0,0.7216969766329905,2500000.0,True vs LCG,Shuffle
F26,529.5,0.5483852536171674,2500000.0,True vs LCG,Shuffle
F27,0.0,,2500000.0,True vs LCG,Shuffle
F28,568.5,0.841477495882272,2500000.0,True vs LCG,Shuffle
F1,544.0,0.2646608212139634,2500000.0,True vs MT,Shuffle
F2,659.0,0.9700912297593819,2500000.0,True vs MT,Shuffle
F3,590.0,0.49380905517129214,2500000.0,True vs MT,Shuffle
F4,497.0,0.11970916241945852,2500000.0,True vs MT,Shuffle
